✅ TX ea254fd2e13c249e539baa93c0a52d00fbcbc00ab14222aa54f2c47c3747fa10 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-18 01:26:00
✅ TX fad7c8b98720fb2baaf8a8e780194f85724629988fe538c613c04be3115076bd | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-09-20 00:37:00
✅ TX 127bf98b73adc58f1f7241159e33835d60fd8f0083553e17b97bf6fafdfb6eaf | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-11 04:12:00
✅ TX c2e281ab6ab89dc5b3979067accdef4b7bfc26ae0a51aeea31087a148cdbaee7 | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-12-11 04:12:00
✅ TX 8cbab00dbb6f732bbaa6baeee29b6cc972d20582db17ed383b90831fa039af1b | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-11 04:12:00
✅ TX 06e2f0ed8fa4ab6906e85a7dd69454248f6767a6799f5638def57d1b98384875 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 202 | Timestamp: 2016-12-11 04:12:00
✅ TX b74d910706775f04667ec66f96d029968c247b63816aaa1ae8dac883647b24c1 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-17 00:00:00
✅ TX 0d5437566c24f96805cb1b543d9146e90d86e104af1a02598f10a7bdeacfe873 | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2016-11-17 00:00:00
✅ TX 1b3c0435cdb96410653d48a421a563597a3ed2168d74b59b02b8fc186c0d9e07 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-17 00:00:00
✅ TX 6dc66d7e4734b11d6cbf3d87df048df0e6b67d868ca4984cf2893c13185438fd | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 208 | Timestamp: 2016-11-17 00:00:00
✅ TX 6524347f32c691a6e432867358016f11ae2ff503b3c8e8d12b6fc3a3da36b2eb | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-16 13:57:00
✅ TX 64b52547b40c1b534dbcca7d09ef4b00b9d2a01123560a6f44999fa0b72cfade | SENSOR_Temperature_°C | Temperature (°C) | Value: 5 | Timestamp: 2016-09-16 13:57:00
✅ TX a9654f287d7cfa0eeb955ac6247fa6ff3ec0db79d6233d92ef4e4bebd6f216f7 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-16 13:57:00
✅ TX f0151d3cb40a01d526493b958c578786397bac1c61b93b139f98be47da8083b0 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 214 | Timestamp: 2016-09-16 13:57:00
✅ TX bdbe88ba0af5de29e2d527ae13af257f702a98eb4306b3f67212497fdd3bde6c | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-09-16 13:57:00
✅ TX 8a00adc2c1b3c11624d3ce372e64f37cdc93e693f61513c4a6a37f43608f6145 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-25 05:19:00
✅ TX f7f13fa38e64bcfa674133314f16e6ad709ee37d5692b023c087e27ab8956235 | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-11-25 05:19:00
✅ TX 42c2508d1aeb3829212d024f6b38de7fe358edabdf37cda54336832b95ea0588 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-25 05:19:00
✅ TX 60ed366daf2a0297a83d7d9829842e9a0afa616f4a99f5ef89f71fa5c8918eea | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 211 | Timestamp: 2016-11-25 05:19:00
✅ TX 5428eaa6b0d46ee7437b10aabd84e915a8290c28a3f2b60c54fed714b1083c3c | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-28 15:52:00
✅ TX bafce93098e280e976aba8e79d4b97aa9aeb8d543834b8c998544b0acf30bbce | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-09-28 15:52:00
✅ TX 550e769e15f44f681af17f2af2d92eea10f75a634bf0b48ed73350326b0670c5 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-28 15:52:00
✅ TX a2035f64ffc80e0b0aeda1d7dce6795a763f10cfb7b7cbd398625122aa30ae04 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 218 | Timestamp: 2016-09-28 15:52:00
✅ TX 42d039e1f174054b9345d384b15497fe94ed9787b849dc1e2acdfbfd69d88f46 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-09-28 15:52:00
✅ TX 3fb1ab01628bb4a3abd62d98c656c67fff8928d6c655b57cf14800570b1b68b0 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-01 17:16:00
✅ TX 8e13e70a5cd180cc8049c7f8e5df1030ddb29371a199b44ea257d9e2ba843549 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-09-01 17:16:00
✅ TX edc92fb740fe160ac663ea1f6aa2928df7bea41b65ef457a9a154abe07e682c0 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-01 17:16:00
✅ TX bd769fb18a708566649a442c22b84899ae8afccf07532b7909ed01838012f20c | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 214 | Timestamp: 2016-09-01 17:16:00
✅ TX 874702ee62c2963c6a798f05cafe4fe5fd2ecbceb8f03638988b73c520c80f55 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-09-01 17:16:00
✅ TX 17e749c92a3f0c30b2354f662e9e08a05698b002d0c93c16899f071061902119 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-28 22:31:00
✅ TX fc5a79e79c7d75c184a06376fc907c66748f00c0f08848991ecc354c171adc56 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-08-28 22:31:00
✅ TX 57a6e204c982bb4a720123527969ff1656936d59583cab79c5abb24976e17901 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-28 22:31:00
✅ TX e176ce70e95173094c7da8167506888563eed376f0e10a3ae692ab3cb7d160e8 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 213 | Timestamp: 2016-08-28 22:31:00
✅ TX 354e98345b8d02e69b12c96d63f5f51a5f3ce72757205d133943f13d731e9ea2 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-08-28 22:31:00
✅ TX fd8eb6abdd6505b847098e4479c779e312d8961e5e6516a645c9c6d94c8f817e | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-25 02:57:00
✅ TX 43211c2cbee9b388e3e09bffb5403a63410f737aab3269702fa81f717117d09a | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-10-25 02:57:00
✅ TX 920e787b27e1adb0c608d819fc00a65586337bd3c6fa997069d7ab19996e496b | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-25 02:57:00
✅ TX 1b67a9ecdb773dcafbfd7e102e940756afbeb8e795ab9c3b9a68ce5252af1c40 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 205 | Timestamp: 2016-10-25 02:57:00
✅ TX 5bd057e231a0a3edb41511577abb40677bb6cd05d234bc3948f6f83f9b39b31e | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-10-25 02:57:00
✅ TX 3fb43e0f3901410cfdbc6444c118d14dbb7bc4845772d226b05e85d3fdf4f98a | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-21 20:17:00
✅ TX d0e9a72b0e2b28d7e917cc1f365d15748944f1f5e593faae903f8c08f0b7205d | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-09-21 20:17:00
✅ TX 6f26d46c728a4f7d94000991d79d2dc8b5f900af30ca23b71fe5b6ae5718850f | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-21 20:17:00
✅ TX 83c173a86883275c40d4dcd34758946c1a9e63295de9e58ce171ded7597318b4 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 211 | Timestamp: 2016-09-21 20:17:00
✅ TX aa2962507bea40555c6023c66c5218c29019bbc7b17918292269aaaf0c0d5cca | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-09 04:34:00
✅ TX 5a8cb4b3e05c688efe5fdde3d0741432bbae7d9a74d4b62ed4ec465698e246ab | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-11-09 04:34:00
✅ TX 566c768303368a21b8dc6f360e118b5486aa5a2dd4f32adc922c84033077a9cf | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-09 04:34:00
✅ TX e2fba9955c70dfaa9da588ebbba00fb52476f1571024e9ef812f9fc951092023 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 208 | Timestamp: 2016-11-09 04:34:00
✅ TX bb3f0301602bddab54fe4eacc4c025f11218390ba2ef81e2f1abcd2311908bac | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-11-09 04:34:00
✅ TX e3977f40218eefe26befe57bb247ef469cc9391acd5182c5518499a2e68be2cb | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-02 06:44:00
✅ TX 2216ff6755e19f2c410ba2dd190fda71effe549f1c84eb72440628d6c704ff5c | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-09-02 06:44:00
✅ TX a8666d5155cf577424de99d85dbfb96204ce6ff7854c86831ecb3623cce34dfb | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-02 06:44:00
✅ TX bf01e7dde3fe606c2bb66ae76edc1e0753b98f2ffa5300fe8f6ddc09d80f9271 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 204 | Timestamp: 2016-09-02 06:44:00
✅ TX dc7f8f772fdd7afcdf67f46274b4d2ab462c0fccc83c59875133038fd7661f62 | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-29 02:25:00
✅ TX 040668093ea16a57a2976e179231eb3ddc7c49b190e9783bc1eea9d73fa9fe21 | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2017-01-29 02:25:00
✅ TX 3b4ef85b495fca5371a34b82629df8dad864a807ba23bc3f530c80ee02b3e93e | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-29 02:25:00
✅ TX ce9f012f60b92a4bc6eb72aaec5c0d68cc3d4dd2066fe1ded995cff2a843c522 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 213 | Timestamp: 2017-01-29 02:25:00
✅ TX 222758b3bc0d5fd0ee79ddcfc8b915fe244f988acee176b4a18a9f918289af78 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2017-01-29 02:25:00
✅ TX 772577a54c6d540533772b1ea6e418975cbf7b8fccf16a7d68a294d705ad94e2 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-03 00:49:00
✅ TX 9fa2efddaf6129a72bbc455549d8e98cde1e29b81c9b4044b26fefc3a6248b43 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-12-03 00:49:00
✅ TX f98ffdd4b6d7a61674053ce7a24e027cdcf3fa3b148ca1864a8693fcf65dc22a | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-03 00:49:00
✅ TX 39921af41edf75ddc3e463d6c1f6ca913a098838b36843d06b15205733b76369 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 216 | Timestamp: 2016-12-03 00:49:00
✅ TX e5406335b69f0c159c7670a0a07fd7b05db4843764e68aeaae62a7dcd566176b | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-26 16:16:00
✅ TX 02618c5e6608a3b9884d6323646873cfd3fe24c2645f63c0e0b9b86f589af6a1 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-11-26 16:16:00
✅ TX fdce9b2bcc85f57f8f74a93aaf2db5ab366610b6ddb76e98ff2aae8565760cd3 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-26 16:16:00
✅ TX fef70396cb25e90c9ea50478c770ca1f6df62d3cd84241a5f0a1226892a4b09d | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 214 | Timestamp: 2016-11-26 16:16:00
✅ TX 9a4d57d24e385994133b28d0d089600d63c0f053cbf19fe11bf27311625153e2 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-11-26 16:16:00
✅ TX 91c01e35d906cca82b2e3b071c4ac5bbed84f75da2ad3acb740e4131e8518103 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-19 21:47:00
✅ TX 7b29b7289c0be2a1bdacd09a1ccb97b57958400a9c5a30e12468e1f03f4fe9e3 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-09-19 21:47:00
✅ TX a522dda1f8fc99453c7626900e28bbc8e8ba35ebab09636d8021aed1dde4d4c7 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-19 21:47:00
✅ TX 3fc33c1f50d4130d0d9e89425d1be94070544460fed24024fb5135a0b5ed298a | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 212 | Timestamp: 2016-09-19 21:47:00
✅ TX 2e54973190293df7b7ab8cf2c24f71c2fb1c20b867f71bb1dd4fa4ae08543dc5 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-09-19 21:47:00
✅ TX 7e2171c9ec6b091d2c0d19d4dab8797240d5b416d39a1193f8a6d744bbb993ad | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-11 02:25:00
✅ TX f5dc7dd47fdee0f3967ef205de9feb1c77da3d918c9c39690a5d54f46f0df48e | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2017-01-11 02:25:00
✅ TX 20b88a855491e4d4d507caefd9d334f6634cf00fc9c1c1c0c5f60c46803d039c | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-11 02:25:00
✅ TX 5ebc8f844cf88a20ee7db446f6ace03805b815f83c44b04dd756a49e3598ff47 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 203 | Timestamp: 2017-01-11 02:25:00
✅ TX 5be76af4b94e3904187440e1bd3ac39c12b0d3ea722e195fd74f4db2a4e2a94c | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2017-01-11 02:25:00
✅ TX 57281df14350c8a119098cba7767253d20bcf9b0df0c1150b3bc77c20bfdf40d | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-14 01:33:00
✅ TX c7fcae30c3cccf304ff7c727018ef84d9760b1a014f6bc418a186d1af74a0e8b | SENSOR_Temperature_°C | Temperature (°C) | Value: 10 | Timestamp: 2016-09-14 01:33:00
✅ TX e01f37916ddc42a4efb5a4d501ce1a4825f169c9bd868cb5b4d7d3d359810a6e | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-14 01:33:00
✅ TX ceea1f66b07ffe22407dcd40377eb91de4524d3869f18708d58b004625394e0d | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 203 | Timestamp: 2016-09-14 01:33:00
✅ TX eb910539449fb5be0d9e13100821009c8c2a258db9777870ae87697dd9102076 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-09-14 01:33:00
✅ TX 05bb166f1ae69c7164fe439b3445554b254738ae0cdaca4ae9dca8ed8763c274 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-18 09:21:00
✅ TX 7e2f5c61efee396ebdc5172f07be83603b14387452c57cba545ea662e5eea67e | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-10-18 09:21:00
✅ TX 48224d567b042236ed5f5f5f461781c242ccf6b6fa60b375b657edbdd88ef4c7 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-18 09:21:00
✅ TX a1702f48e0f4320178846d443480a92cd47c53eb3b2b49787ad405b7374f3d3e | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 220 | Timestamp: 2016-10-18 09:21:00
✅ TX ce411fc6f18c38b3d4d8c5e0314b0498484a5eeb113e16299c162434651dcd6e | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-10-18 09:21:00
✅ TX 24a695763e0d0f1af4e2a3f3f0af1e6506237d8264e80fd7e908bc93cbb6336d | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-20 23:02:00
✅ TX a546f595362fe36656343fa4ae2bb046e8e438034fb68f9458271b47ff982407 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-12-20 23:02:00
✅ TX 4d5da8e01c4a3c2257cd21e15a15ae40aefcec3b6eac9fd509789f10fb96f6fa | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-20 23:02:00
✅ TX 9b0b55af0237bbe6f7f63bfcceeb75d2b8734d44ebe3e2e3e080d3c7acedc70d | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 212 | Timestamp: 2016-12-20 23:02:00
✅ TX 201be45c92dada4807a33dd2f27548237cec0801dc90e6dbdce9825859a98d7b | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-12-20 23:02:00
✅ TX 962387bd42ac9d4563b4d1f671d51aa442a813e707a588b5d742e6953d87434d | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-20 13:48:00
✅ TX 38c4286a2f406cb738af3f42841b5b6e626232314f5f7157ca9c412fd1d43492 | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-12-20 13:48:00
✅ TX 1797c7adb23e7100bec947e8ce6a8e37eee7ad81619778e346c2cbfabeb89d82 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-20 13:48:00
✅ TX 2b17e6f8a4ef54eb4d6b688d24cbcc279642851678c0d2922ebfe5f56484cb7e | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 216 | Timestamp: 2016-12-20 13:48:00
✅ TX 4727c308904487e49da2510164ad43d90dbf7831e088b55aef0dae95a1711125 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-12-20 13:48:00
✅ TX e6592feac36917c0c8adb3812ad5f8c9873223153de8ea04c7ddd44b2c817593 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-15 07:58:00
✅ TX 1d3049e8f3225f624ab1d5200faeee6fcff5f666ca1dc443b2c972a149b21723 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-08-15 07:58:00
✅ TX 01d45b2c1a4456caf3ed63cbb4dae016620da6654650ccb0a7a799b4f592ab1b | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-15 07:58:00
✅ TX 440f0b0f26b4f7b653506688ac2d77a1ef3af265fc83e2236bc02e4034a1e2bc | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 205 | Timestamp: 2016-08-15 07:58:00
✅ TX ab32bfcfcd318a2f604a08b902d4d8eed26cee0b55fc48e2118b8c148fc1de62 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-17 23:58:00
✅ TX a2f5bd249575f61d4c257e31bc75ff086362e4d23d155f6e338bc5c08b87cf81 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-11-17 23:58:00
✅ TX f6e4ff36920d1bc860ea7320dea7a65e47300006541f9c03c51ba1fd0b3fce5a | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-17 23:58:00
✅ TX 8caacd8187d7d906dd07828cd1406069292d3ca4c621d61af2d4e52ec1b1abfc | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 210 | Timestamp: 2016-11-17 23:58:00
✅ TX 7620694d958203a1e3ca3d481bca1b39a8540ecc644eaa6c4fbbb87ed1ff1ed6 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-11-17 23:58:00
✅ TX c5d0627d2e86d68787d2ffe7a34068489c880397bf9de0e93a05e3405196fef1 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-11 22:28:00
✅ TX 797bc1915b711c3b56a21df1959ebbf012ab9544df5389ab5142d3692b2d967e | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-11-11 22:28:00
✅ TX 76481aef63df0fed068786425eed865db3c7c4f2f5f1a5a432a3308970720d10 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-11 22:28:00
✅ TX 377df107e7650d36921397fe944b2df4f97a9bb2311fa3f6374add3fe80bb5c8 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 209 | Timestamp: 2016-11-11 22:28:00
✅ TX 527dd25b1e3c330701f5e6f85899d564bc2dd5f80ef16d2b87db5b4f8fba06cb | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-28 12:24:00
✅ TX edc1bbd54555b0e84d56e42cda8c8c235cbd2e32df324e6350c4ce8cd5c36572 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-10-28 12:24:00
✅ TX 739c4514bcd9bbaffecbe7a9e799589195a0c79ddccc25c5dda85ea48da3caec | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-28 12:24:00
✅ TX 525c088235e7b625c61b38033f705fef7a2aa4b4ed0f5446f2cae7dd60b1d51f | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 203 | Timestamp: 2016-10-28 12:24:00
✅ TX 708a7c245dc0f3bab3b8b190b178176e1cb219ea77b73e53ff851069910cda98 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-15 01:14:00
✅ TX 6ba0135fb700e3b756f138bfefc4fd01dc1e469d5d4d2a1c0305e25b895a70e3 | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2016-09-15 01:14:00
✅ TX a4846577d97bb18f0e0756f62f7671020cfd290d4047009751a6ec925e908e7d | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-15 01:14:00
✅ TX ae55c6dbd84fb8651d3e168fb28506f854b07fb38f3d121d9df0c30d24c482bb | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 199 | Timestamp: 2016-09-15 01:14:00
✅ TX f197dc0a0460f874aea4f2429aa28ef6e36712c630b1724862791cde6ccc2248 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-13 23:37:00
✅ TX acbfa90258b22fd16147edfb7fd9bc674724aec736c0c5bd9144cf20198093c6 | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2016-12-13 23:37:00
✅ TX e378a44126b315ad1fc7e91e47b76cb9eabf7f030b2dc4fdb9ad8863e9cede8a | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-13 23:37:00
✅ TX ee238eb96f8fb358b6246bd054c2958b2df6d153f2cfbea5d92ff46a50a3b781 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 207 | Timestamp: 2016-12-13 23:37:00
✅ TX df96c9ab9c47a596085f4848b9baac10ba8d5f703d4e0502da1fdc7a4f9aa4ce | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-12-13 23:37:00
✅ TX 3256d8db8f85b6d8e004f7da71e3e2216c3ff67c1d28d8b1544f4ee286daee1c | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-22 21:51:00
✅ TX ca0da2ac55a3cdc802bee945049321a4b8105c4430b901ac7ee7aa9c8f758439 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-11-22 21:51:00
✅ TX 9e169664a4b4c4e55346ef55468d138c7d780997c52547f4a9546396549b9e5d | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-22 21:51:00
✅ TX d583989c6fc077aa47df2ddcb467fe84d48c0e3511dce74125f607a0e3fc87b1 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 211 | Timestamp: 2016-11-22 21:51:00
✅ TX 790ed9ee1fd56df1b49997f6a18796e716e1bf254515b163bda053e3817f7bdf | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-11-22 21:51:00
✅ TX deaa9aedb48205db52081cfe39453ccbd5a7a81ad346b9c1d18fd172f686f712 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-24 05:25:00
✅ TX 1cfa7ad2ea98dba3b1f7edc8f0b51635848c534068d13fb76d3ef52bd177f78b | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-10-24 05:25:00
✅ TX f374d70016f69f137f9ea74d68d0105c3675fefc9ffaeddd522ff16d824fccda | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-24 05:25:00
✅ TX 7b42f5e00fa9723190d47e7da9f471470f596b9ff3c5650fe3ffd4416be42575 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 213 | Timestamp: 2016-10-24 05:25:00
✅ TX 3cebdaf4db5750bc2f19d278241b3e963c4d4337d5d1cd2a258a800d77ab0e8c | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-04 13:11:00
✅ TX 1b41449a880d7775dd12c4c97989a50cc7612617fe015ca3c31ded1758e4199a | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2017-01-04 13:11:00
✅ TX 5dfc83c5384486e13d62821247c9ee7ab451f2c450c30df63da4006272d0646e | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-04 13:11:00
✅ TX d3be14cf7a99d9f58e82c56bca61c3f824e5a70fe9110a18b2f7b1a1be12ab06 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 205 | Timestamp: 2017-01-04 13:11:00
✅ TX 404ab693f4b85ae46713e2957bf0c79dcdefc1bb8fc1828c66643f00473b0c58 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2017-01-04 13:11:00
✅ TX 7bd38ddcf56e5bed48e5aa34bb60ecc582fc9bec7936a7feece2f70ecf7893bc | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-06 20:27:00
✅ TX 80861657260a7d672e670c89855e82d7b3765f068783e6c5db0064860b7f0a63 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-12-06 20:27:00
✅ TX ca2d3147d298a0bb8302459801635c826c0fbd9c6b6aa9e67dbaf612e1c93f62 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-06 20:27:00
